llave_cod_cliente,admin_antiguedad_banco,admin_flag_gerenciado,buro_creditos_otros_bancos,buro_score_apc,buro_wallet_share,comp_flag_atm,comp_flag_bpi,comp_flag_cnb,comp_flag_pos,comp_flag_suc,comp_perc_atm,comp_perc_canal_fisico,comp_perc_cnb,comp_perc_bpi,comp_perc_pos,comp_perc_suc,comp_score_digital,comp_txn_atm,comp_txn_bpi,comp_txn_cnb,comp_txn_pos,comp_txn_suc,comp_usd_atm_prom,comp_usd_bpi_prom,comp_usd_cnb_prom,comp_usd_pos_prom,comp_usd_suc_prom,dem_edad,dem_planilla,finc_bal_act,finc_bal_pas,finc_perc_act_tc,finc_perc_pas_tc,finc_sva,finc_tamano_comercial,pdcto_flag_auto,pdcto_flag_cta_ahorro,pdcto_flag_cta_corriente,pdcto_flag_cta_dpf,pdcto_flag_financomer,pdcto_flag_garantizado,pdcto_flag_hipoteca,pdcto_flag_pp,pdcto_flag_seguros,pdcto_flag_tiene_tdc,pdcto_flag_tiene_tdd,pdcto_ivc_actual,dem_salario
1183,23,0,0,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,464.666666,66,0,19305.68,0,1,0,11.237869,19305.68,0,0,1,0,0,0,1,0,0,0,0,2,1252.07
1361,23,0,1,629,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,9087.1,0,1,0,10.145764,9087.1,0,0,0,0,0,0,1,0,0,0,0,1,1033.50
1551,23,0,1,661,0.02,1,0,1,0,1,0.33,1,0.33,0,0,0.33,0,1,0,1,0,1,1.666666,0,25,0,16.666666,56,0,684.233,120.747,0.85,0.15,18.786289,804.98,0,1,0,0,0,0,0,0,1,1,1,2,1073.25
1702,23,0,1,600,0.94,1,1,0,1,1,0.28,0,0,0.13,0.55,0.04,2,53,25,0,105,7,393.75,344.295,0,194.811666,460.733333,76,0,10590.4162,1047.4038,0.91,0.09,33.495872,11637.82,0,0,1,0,0,0,0,1,1,1,1,3,1020.00
2897,23,0,1,329,0,1,0,0,1,1,0.4,0,0,0,0.59,0.01,0,31,0,0,46,1,737.285,0,0,130.401666,40.323333,45,0,0,0,0,0,3.24148,0,0,1,0,0,0,0,0,0,0,0,1,1,766.40
3393,23,0,0,555,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,2770.82,0,1,0,27.717072,2770.82,0,1,0,0,0,0,0,0,1,1,0,2,988.14
3675,23,0,1,642,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,3.65,0,1,16.888967,3.65,0,1,0,0,0,0,0,0,1,1,0,2,1180.80
3698,23,0,1,774,0,1,1,0,1,0,0.24,0,0,0.47,0.29,0,2,13,26,0,16,0,345.416666,1058.21,0,75.265833,0,44,1,0,3.86,0,1,5.368895,3.86,0,1,1,0,0,0,0,0,0,0,1,2,1025.57
3873,23,0,1,771,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,81.666666,43,0,0,9.34,0,1,1.303705,9.34,0,1,0,0,0,0,0,0,0,0,0,1,1012.52
4006,23,0,1,758,0.23,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,76.666666,51,0,13484.592,136.208,0.99,0.01,14.595001,13620.8,0,1,0,0,0,0,0,1,0,0,0,2,964.70
4484,23,0,1,789,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,875.2,0,1,0,22.32663,875.2,0,1,1,0,0,0,0,0,1,0,0,3,1078.92
6341,23,0,1,631,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,30324.98,0,1,0,22.809993,30324.98,0,1,0,0,0,0,0,1,0,0,0,2,1212.94
6484,23,0,0,770,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,13506.64,0,1,0,10.692096,13506.64,0,0,0,0,0,0,0,1,1,0,0,1,949.93
7078,23,0,1,669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,3.216368,0,0,1,1,0,0,0,0,0,0,0,0,2,1033.20
7282,23,0,1,647,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,5.833333,59,0,0,749.83,0,1,13.683935,749.83,0,1,0,0,0,0,0,0,0,0,0,1,1159.01
7383,23,0,1,749,0,1,1,0,1,1,0.13,0,0,0.51,0.32,0.04,2,28,110,0,68,8,269.166666,412.225833,0,181.004166,148.060833,56,0,0,3.8,0,1,4.367548,3.8,0,0,1,0,0,0,0,0,0,0,1,1,1033.50
7510,23,0,1,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,43,0,0,0,0,1896.666666,79,0,4222.7061,3744.6639,0.53,0.47,38.15422,7967.37,0,1,0,0,0,0,0,1,0,0,0,2,885.84
8369,23,0,1,708,0,1,1,0,1,1,0.41,0,0,0.23,0.35,0.01,2,53,30,0,46,1,385.833333,783.463333,0,276.7775,4.593333,52,0,0,14.1,0,1,2.775398,14.1,0,0,1,0,0,0,0,0,0,0,1,1,1569.88
8806,23,0,1,589,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,6702.28,0,1,0,10.692096,6702.28,0,0,0,0,0,0,0,1,0,0,0,1,859.21
9010,23,0,1,796,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,217.5,48,0,0,298.4,0,1,2.862955,298.4,0,1,0,0,0,0,0,0,0,0,0,1,1151.44
9266,23,0,0,616,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,3990.34,0,1,0,10.692096,3990.34,0,0,0,0,0,0,0,1,0,0,0,1,891.02
