llave_cod_cliente,admin_antiguedad_banco,admin_flag_gerenciado,buro_creditos_otros_bancos,buro_score_apc,buro_wallet_share,comp_flag_atm,comp_flag_bpi,comp_flag_cnb,comp_flag_pos,comp_flag_suc,comp_perc_atm,comp_perc_canal_fisico,comp_perc_cnb,comp_perc_bpi,comp_perc_pos,comp_perc_suc,comp_score_digital,comp_txn_atm,comp_txn_bpi,comp_txn_cnb,comp_txn_pos,comp_txn_suc,comp_usd_atm_prom,comp_usd_bpi_prom,comp_usd_cnb_prom,comp_usd_pos_prom,comp_usd_suc_prom,dem_edad,dem_planilla,finc_bal_act,finc_bal_pas,finc_perc_act_tc,finc_perc_pas_tc,finc_sva,finc_tamano_comercial,pdcto_flag_auto,pdcto_flag_cta_ahorro,pdcto_flag_cta_corriente,pdcto_flag_cta_dpf,pdcto_flag_financomer,pdcto_flag_garantizado,pdcto_flag_hipoteca,pdcto_flag_pp,pdcto_flag_seguros,pdcto_flag_tiene_tdc,pdcto_flag_tiene_tdd,pdcto_ivc_actual
484,23,0,1,721,0.03,0,0,1,0,1,0,0,0.52,0,0,0.48,0,0,0,17,0,16,0,0,334.208333,0,1233.414166,56,0,373.443,5850.607,0.06,0.94,28.916394,6224.05,0,1,0,0,0,0,0,0,1,1,0,2
622,23,0,1,809,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,45309.4,0,1,0,32.474229,45309.4,0,1,0,0,0,0,0,0,1,1,0,2
845,23,0,0,472,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,10.166666,74,0,0,344.55,0,1,1.303705,344.55,0,1,0,0,0,0,0,0,0,0,0,1
884,23,0,1,625,0.56,1,0,0,1,1,0.42,0,0,0,0.5,0.08,0,74,0,0,87,14,531.25,0,0,154.024166,114.25,54,1,2683.3428,171.2772,0.94,0.06,15.806874,2854.62,0,1,1,0,0,0,0,1,0,0,1,3
961,23,0,1,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0.13,0,1,3.216368,0.13,0,1,1,0,0,0,0,0,0,0,0,2
1247,23,0,1,784,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,31718.94,0,1,0,34.336001,31718.94,0,1,1,0,0,0,1,0,0,0,0,3
1382,23,0,0,,0,0,1,0,0,1,0,0,0,0.9,0,0.1,0,0,9,0,0,1,0,245,0,0,183.333333,84,0,7512.41,0,1,0,19.288266,7512.41,0,1,0,0,0,0,0,0,1,0,0,2
1391,23,0,1,500,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,36.666666,60,0,0,222.95,0,1,2.60741,222.95,0,1,0,0,0,0,0,0,0,0,0,1
1410,23,0,1,671,0.56,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,0,362.416666,59,0,19312.48,0,1,0,13.067101,19312.48,1,1,0,0,0,0,0,0,0,0,0,2
1425,23,0,1,787,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,3960.08,0,1,0,15.585262,3960.08,0,0,0,0,0,0,0,0,1,1,0,1
1659,23,0,1,557,0.67,0,1,0,0,1,0,0,0,0.56,0,0.44,0,0,5,0,0,4,0,4.195833,0,0,108.333333,56,0,14793.0804,301.8996,0.98,0.02,36.539419,15094.98,0,1,1,0,0,0,0,0,1,1,1,3
1823,23,0,0,604,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,14.55,0,1,0,15.585262,14.55,0,1,0,0,0,0,0,0,1,1,0,2
2297,23,0,0,589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,44.14,0,1,2.579584,44.14,0,1,0,0,0,0,0,0,0,0,0,1
2373,23,0,1,565,0,1,0,0,1,1,0.36,0,0,0,0.6,0.05,0,61,0,0,102,8,699.166666,0,0,607.344166,1415.3675,58,0,0,80.73,0,1,2.152527,80.73,0,1,0,0,0,0,0,0,0,0,1,1
2981,23,0,1,813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0.63,0,1,1.303705,0.63,0,1,0,0,0,0,0,0,0,0,0,1
2994,23,0,0,,0,1,0,0,1,1,0.37,0,0,0,0.12,0.51,0,25,0,0,8,35,373.333333,0,0,39.125,2420.833333,90,0,0,7034.9,0,1,8.73033,7034.9,0,1,0,0,0,0,0,0,0,0,1,1
3207,23,0,1,731,0,1,0,0,1,1,0.37,0,0,0,0.57,0.06,0,47,0,0,73,7,547.916666,0,0,278.443333,535.6625,65,0,0,1392.17,0,1,2.693326,1392.17,0,1,0,0,0,0,0,0,0,0,1,1
3329,23,0,1,848,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,5259.85,0,1,0,41.998629,5259.85,0,0,0,0,0,0,0,0,1,1,0,1
3749,23,0,1,790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,1.303705,0,0,1,0,0,0,0,0,0,0,0,0,1
3779,23,0,1,551,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,79492.74,0,1,0,20.291528,79492.74,0,1,0,0,0,0,1,0,0,0,0,2
3820,23,0,0,,0,1,0,0,1,1,0.52,0,0,0,0.45,0.03,0,74,0,0,64,4,279.583333,0,0,110.003333,101.666666,60,0,0,4.84,0,1,19.558913,4.84,0,1,1,0,0,0,0,0,0,0,1,2
3881,23,0,1,737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,3.216368,0,0,1,1,0,0,0,0,0,0,0,0,2
